X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,1.0,0.2823803986328235,0.8135599908688638,0.6552457141826797,0.064283920876787,0.8311001680348056,0.6050522220171417,0.9305807454356096,0.9160826907078364,-0.0800173076052983,-0.0331466941367094,0.2786210564598727,-0.4278076996307062
CL,0.2823803986328234,1.0,0.0014954330336541,0.2573100533867711,-0.2178879280679143,-0.1023295305617396,0.2401583204588903,0.1482992650725688,0.1831241561257552,-0.2617657823692687,0.8835399300508671,0.5923576362077918,-0.2871520243250586
DR1_45min,0.8135599908688637,0.0014954330336541,1.0,0.7499308992829655,0.4166689191225723,0.9765624466062032,0.6228203701296723,0.8882940950119134,0.8952653858419563,0.2900366508556726,-0.2607842450963021,-0.0460996245559567,0.0313053298221494
DR1_scan2,0.6552457141826797,0.2573100533867711,0.7499308992829654,1.0,0.5398673673771042,0.6482134512535598,0.9710791648158148,0.7439240910778854,0.7946871451991997,0.3995120413796376,-0.0090756094734993,-0.116439560148634,0.2588930401129704
De,0.0642839208767871,-0.2178879280679143,0.4166689191225723,0.5398673673771043,1.0,0.3836727339484472,0.5423926336337721,0.3874319989702452,0.424190795770798,0.7854701019708579,-0.0872354059599933,-0.5752407525609,0.7206586136275398
R1_45min,0.8311001680348056,-0.1023295305617396,0.9765624466062032,0.6482134512535598,0.3836727339484472,0.9999999999999998,0.5421835611866298,0.9140791542470448,0.9056612009826276,0.2760566847718589,-0.3309079857291954,-0.0057585844999229,-0.0533799893746992
R1_scan2,0.6050522220171417,0.2401583204588903,0.6228203701296723,0.9710791648158148,0.5423926336337721,0.5421835611866299,1.0,0.7058435155709897,0.7560046219441424,0.4187421479945252,0.0110279598852602,-0.0989203245056245,0.2510237180202936
RE_R1l,0.9305807454356098,0.1482992650725689,0.8882940950119134,0.7439240910778854,0.3874319989702452,0.9140791542470448,0.7058435155709895,1.0,0.995098798911219,0.2165676651276167,-0.0850059612294433,0.1263655912221811,-0.1738069480151627
RE_Sl,0.9160826907078364,0.1831241561257552,0.8952653858419563,0.7946871451991996,0.424190795770798,0.9056612009826276,0.7560046219441423,0.995098798911219,1.0,0.2777150371102509,-0.0467917474420415,0.1303265137577905,-0.1031499472987813
Te,-0.0800173076052983,-0.2617657823692688,0.2900366508556726,0.3995120413796375,0.7854701019708579,0.2760566847718589,0.4187421479945252,0.2165676651276167,0.2777150371102509,1.0,-0.0477946779798975,-0.2159017025202984,0.8558410938628096
kbh,-0.0331466941367094,0.8835399300508671,-0.2607842450963021,-0.0090756094734993,-0.0872354059599933,-0.3309079857291953,0.0110279598852603,-0.0850059612294433,-0.0467917474420415,-0.0477946779798975,0.9999999999999998,0.5409807344756847,-0.0616966649468822
khe,0.2786210564598728,0.5923576362077918,-0.0460996245559566,-0.116439560148634,-0.5752407525609,-0.0057585844999229,-0.0989203245056244,0.126365591222181,0.1303265137577905,-0.2159017025202984,0.5409807344756847,1.0,-0.499590360701603
ve,-0.4278076996307061,-0.2871520243250586,0.0313053298221494,0.2588930401129704,0.7206586136275399,-0.0533799893746992,0.2510237180202936,-0.1738069480151626,-0.1031499472987813,0.8558410938628096,-0.0616966649468822,-0.499590360701603,1.0
