parameter,count,mean,std,min,25%,50%,75%,max
Age (yr),10.0,32.5,8.3,21.0,27.0,32.0,35.5,51.0
ALP (U/L),10.0,67.8,26.5,39.5,53.4,60.0,67.5,118.0
ALT (U/L),10.0,20.8,8.2,14.0,16.5,17.8,23.4,41.5
Albumin (g/L),10.0,42.3,2.8,37.0,41.8,42.8,43.4,46.0
Bilirubin (umol/L),10.0,13.0,4.2,6.5,10.8,12.8,14.0,23.0
Conjugated Bilirubin (umol/L),10.0,4.7,2.1,3.0,3.5,4.2,5.0,10.0
Conjugated/total bilirubin (%),10.0,36.2,6.4,25.0,33.4,36.2,39.0,46.5
BMI  (kg/m2),10.0,24.4,3.5,18.7,22.6,24.0,26.8,30.0
Creatinine (umol/L),10.0,77.1,13.3,58.0,67.2,79.5,86.8,98.0
Height  (cm),10.0,174.3,8.1,163.1,167.6,175.7,179.9,187.8
Urea nitrogen (mmol/L),10.0,5.8,1.5,3.4,5.0,5.8,7.0,7.8
Body weight  (kg),10.0,73.2,7.6,57.0,72.8,74.6,75.9,82.8
