parameter,control Mean,control 95%CI,drug Mean,drug 95%CI,Effect Mean,Effect 95%CI,T,p-unc,BF10,odds-ratio
AUC35_Cb,36.9,16.0,35.2,8.1,26.8,16.0,-3.45726278961883,0.01058670402733,6.246,0.2955559901635988
AUC35_Cl,205.0,100.0,25.8,4.3,-81.9,2.7,8.619803173869633,5.6433097305828e-05,441.16,984.9708688348752
AvrALP,67.8,16.0,73.9,21.0,-0.542,11.0,-0.0182717806270193,0.98593193594336,0.336,0.9959532828858848
AvrALT,20.8,5.1,24.1,6.5,17.4,23.0,-1.5572464069540135,0.1633692842249008,0.812,0.5626674422075786
AvrAlb,42.3,1.7,40.9,1.8,-4.15,2.9,2.7704437441979075,0.0276764103916904,2.967,3.385960120010623
AvrBili,13.0,2.6,22.0,2.8,81.9,52.0,-5.3716427147145085,0.0010396732126529,39.942,0.0280695907920752
AvrConBili,4.7,1.3,12.6,6.2,146.0,57.0,-3.127716210856122,0.0203837422032144,3.891,0.1082996612565105
AvrConTotBili,36.2,4.0,44.6,5.3,23.1,21.0,-1.9998718564791251,0.0924427246323184,1.269,0.1531298554063337
CL,0.265,0.028,0.0199,0.0044,-92.3,2.5,14.60434747000773,1.6855983271258657e-06,8478.976,1174265.4692580414
CO,7.75,2.0,7.7,1.2,17.8,27.0,-0.6449577763002105,0.5395090148362922,0.399,0.7289680608962883
DR1_45min,1.07,0.81,0.136,0.03,-77.1,5.8,8.679833852954314,5.395639329250598e-05,457.993,860.5257417785781
DR1_scan2,0.459,0.43,0.0757,0.018,-31.4,76.0,3.100724949821037,0.0173046912501277,4.259,15.618904513312629
De,66.1,16.0,70.4,4.8,283.0,550.0,-0.6590906690454511,0.5309132389095733,0.402,0.5543877779715564
Dhl,47.3,8.7,47.4,8.0,10.7,9.8,-1.9905510107778892,0.0868206921052409,1.266,0.5722320433301435
Eb,6.73,2.1,3.46,0.77,-41.1,16.0,2.987383070545333,0.02030143156348,3.764,9.026222689248025
Eo,18.4,3.2,14.1,3.2,-25.4,12.0,4.005522890385569,0.0051535669724272,11.025,5.90745066938175
R1_45min,2.33,0.82,1.38,0.083,-26.1,3.2,12.12557685640308,5.92906308983869e-06,2925.374,357.436093822139
R1_scan2,1.73,0.44,1.32,0.071,-11.7,4.6,4.545674350719907,0.0026497146285832,18.757,14.799716413605951
RE_R1b,20.6,9.1,22.9,5.9,45.2,28.0,-3.647197204663189,0.0082083679194415,7.628,0.2011061849035148
RE_R1l,86.9,40.0,8.86,1.5,-85.6,1.9,8.31900926166599,7.09512646567815e-05,364.516,993.6250391686788
RE_Sb,15.3,8.6,20.2,7.4,136.0,130.0,-1.377267311228375,0.2108549396651277,0.685,0.2375089343663067
RE_Sl,66.0,23.0,6.54,1.7,-87.5,1.9,8.752792227228726,5.11102703128123e-05,479.183,1113.9882296159549
Te,36.5,11.0,43.0,7.7,148.0,240.0,-0.8842819303081035,0.4058904266712967,0.461,0.4384070468282678
Th,52.1,29.0,141.0,62.0,299.0,190.0,-2.223618925165494,0.0615476814655527,1.627,0.1089451785979489
Th_f,59.8,40.0,114.0,71.0,277.0,260.0,-1.3203789322844053,0.2282414367806216,0.651,0.28579184761311
Th_i,44.4,22.0,168.0,140.0,359.0,400.0,-1.6038210023398267,0.1527881631641209,0.85,0.227949403910546
Thl,14.5,3.3,14.5,2.5,11.9,23.0,-0.6871682824296047,0.5140911909381811,0.408,0.6199133097352608
To,27.9,5.5,30.8,7.0,9.7,20.0,-0.7735774400736724,0.4644986077027135,0.429,0.6971727876743226
Toe,5.98,1.3,6.72,1.3,31.4,48.0,-1.0325630008531252,0.3361579633502297,0.513,0.4487628142525585
kbh,2.17,0.54,0.791,0.34,-48.7,42.0,4.065549017150768,0.0047759932270926,11.712,52.583506394278494
kbh_slope,-0.0175,0.4,-0.188,0.72,1140.0,2100.0,0.7784480966125331,0.4618027035636468,0.431,1.840241946467424
khe,29.7,4.5,2.17,0.59,-92.6,2.5,10.58691237983722,1.4671887259579524e-05,1363.496,12220.53760549218
khe_slope,-2.45,3.4,0.257,0.18,-100.0,11.0,-0.8626160630094755,0.4169197853314871,0.454,0.453975094081239
ve,17.7,6.5,21.5,3.3,264.0,420.0,-1.4198388864615654,0.1986205910853897,0.712,0.3026024352119953
